Average results by system

runName	query	F-measure (alpha=0.5)	precision	recall
random_09	0.49	0.49	0.53
random_17	0.49	0.49	0.51
random_18	0.48	0.49	0.52
random_01	0.47	0.49	0.50
random_05	0.47	0.49	0.49
random_11	0.47	0.49	0.49
random_10	0.47	0.49	0.50
random_08	0.47	0.49	0.51
random_02	0.47	0.49	0.49
random_15	0.47	0.49	0.49
random_03	0.46	0.49	0.48
random_04	0.46	0.49	0.49
random_14	0.46	0.49	0.48
random_20	0.46	0.49	0.48
random_12	0.46	0.48	0.48
random_07	0.45	0.49	0.47
random_16	0.45	0.49	0.47
random_13	0.45	0.49	0.47
random_06	0.44	0.49	0.45
random_19	0.44	0.48	0.46

Detailed system results by query

runName	query	F-measure (alpha=0.5)	precision	recall	numSamples	true_true	true_false	false_false	false_true	unknown
random_01	alcatel	0.49	0.49	0.49	481	226	234	12	5	4
random_01	amadeus_it_group	0.51	0.50	0.53	481	34	30	206	211	0
random_01	apollo hospitals	0.60	0.48	0.78	450	7	2	210	226	5
random_01	armani	0.46	0.46	0.47	466	153	176	63	56	18
random_01	barclays	0.51	0.50	0.53	476	176	159	61	72	8
random_01	bart	0.49	0.49	0.48	480	104	112	132	116	16
random_01	bayer	0.48	0.48	0.49	450	142	150	75	73	10
random_01	blockbuster inc.	0.49	0.49	0.50	476	157	157	75	68	19
random_01	boingo (wifi for travelers)	0.52	0.52	0.52	448	96	89	135	120	8
random_01	bulldog solutions	0.67	0.50	1.00	451	2	0	225	223	1
random_01	cadillac	0.47	0.46	0.48	482	143	152	78	94	15
random_01	craft magazine	0.48	0.52	0.44	467	4	5	239	217	2
random_01	delta holding	0.00	0.47	0.00	484	0	0	229	250	5
random_01	dunlop	0.49	0.49	0.48	464	52	57	177	171	7
random_01	edmunds.com	0.48	0.50	0.46	445	72	84	151	129	9
random_01	elf corporation	0.53	0.50	0.57	489	8	6	235	233	7
random_01	emperor entertainment group	0.56	0.51	0.63	490	5	3	247	235	0
random_01	fender	0.48	0.46	0.50	471	150	152	69	83	17
random_01	folio_corporation	0.57	0.50	0.67	473	4	2	231	218	18
random_01	foxtel	0.45	0.44	0.46	499	220	259	1	5	14
random_01	fujitsu	0.52	0.51	0.52	457	215	198	20	17	7
random_01	harpers	0.50	0.49	0.50	495	90	91	154	143	17
random_01	impulse (records )	0.49	0.52	0.47	454	7	8	231	208	0
random_01	lamborghini	0.47	0.47	0.48	407	180	196	11	11	9
random_01	land rover	0.47	0.46	0.48	450	131	142	78	87	12
random_01	linux	0.51	0.51	0.51	387	193	185	3	3	3
random_01	liquid entertainment	0.65	0.48	1.00	463	3	0	219	238	3
random_01	lufthansa	0.45	0.45	0.45	472	206	254	6	4	2
random_01	luxor hotel and casino	0.46	0.45	0.46	474	96	113	118	102	45
random_01	lynx express	0.61	0.56	0.67	479	2	1	268	204	4
random_01	mack group	0.67	0.50	1.00	474	1	0	236	233	4
random_01	magnum research	0.57	0.51	0.65	468	17	9	221	206	15
random_01	mandalay bay resort and casino	0.49	0.48	0.50	484	176	173	54	62	19
random_01	marriott international	0.50	0.49	0.51	467	212	204	18	18	15
random_01	marvel comics	0.49	0.47	0.50	476	204	200	21	34	17
random_01	mdm (event agency)	0.47	0.46	0.48	475	10	11	207	243	4
random_01	mep	0.41	0.50	0.35	475	7	13	231	220	4
random_01	mercedes-benz	0.49	0.48	0.49	471	174	182	53	50	12
random_01	mercer consulting	0.53	0.50	0.56	462	9	7	222	220	4
random_01	mgm grand hotel and casino	0.51	0.48	0.55	480	98	81	130	129	42
random_01	mta bike plus (nyc)	0.48	0.45	0.51	481	83	80	135	147	36
random_01	nikon	0.52	0.51	0.52	449	229	210	2	3	5
random_01	nordic airways	0.50	0.45	0.56	476	5	4	208	259	0
random_01	philips	0.49	0.48	0.50	446	181	179	31	48	7
random_01	pierce manufacturing	0.00	0.53	0.00	465	0	1	247	217	0
random_01	pioner company	0.43	0.48	0.39	462	13	20	209	216	4
random_01	renaissance technologies	0.00	0.48	0.00	470	0	1	227	240	2
random_01	renault	0.50	0.49	0.51	425	206	198	4	6	11
random_01	shin corporation	0.50	0.49	0.50	488	1	1	240	231	15
random_01	smarter travel	0.28	0.48	0.20	452	1	4	217	229	1
random_01	southwest airlines	0.40	0.45	0.36	468	47	85	162	167	7
random_01	yamaha	0.44	0.43	0.45	489	203	248	8	11	19
random_02	alcatel	0.51	0.51	0.51	481	235	225	8	9	4
random_02	amadeus_it_group	0.49	0.50	0.48	481	31	33	208	209	0
random_02	apollo hospitals	0.45	0.46	0.44	450	4	5	204	232	5
random_02	armani	0.49	0.48	0.50	466	163	166	63	56	18
random_02	barclays	0.49	0.49	0.49	476	165	170	70	63	8
random_02	bart	0.47	0.48	0.45	480	98	118	131	117	16
random_02	bayer	0.47	0.46	0.48	450	140	152	67	81	10
random_02	blockbuster inc.	0.49	0.49	0.50	476	157	157	75	68	19
random_02	boingo (wifi for travelers)	0.52	0.50	0.54	448	99	86	126	129	8
random_02	bulldog solutions	0.00	0.49	0.00	451	0	2	220	228	1
random_02	cadillac	0.49	0.48	0.50	482	147	148	86	86	15
random_02	craft magazine	0.48	0.52	0.44	467	4	5	240	216	2
random_02	delta holding	0.00	0.49	0.00	484	0	0	235	244	5
random_02	dunlop	0.51	0.53	0.49	464	53	56	192	156	7
random_02	edmunds.com	0.50	0.51	0.49	445	76	80	149	131	9
random_02	elf corporation	0.36	0.51	0.29	489	4	10	243	225	7
random_02	emperor entertainment group	0.55	0.49	0.63	490	5	3	234	248	0
random_02	fender	0.49	0.48	0.50	471	151	151	75	77	17
random_02	folio_corporation	0.55	0.47	0.67	473	4	2	216	233	18
random_02	foxtel	0.50	0.49	0.51	499	246	233	1	5	14
random_02	fujitsu	0.48	0.48	0.48	457	200	213	20	17	7
random_02	harpers	0.48	0.49	0.46	495	84	97	157	140	17
random_02	impulse (records )	0.49	0.53	0.47	454	7	8	232	207	0
random_02	lamborghini	0.48	0.47	0.49	407	183	193	9	13	9
random_02	land rover	0.50	0.50	0.49	450	134	139	92	73	12
random_02	linux	0.51	0.51	0.51	387	193	185	6	0	3
random_02	liquid entertainment	0.58	0.51	0.67	463	2	1	234	223	3
random_02	lufthansa	0.49	0.49	0.49	472	224	236	6	4	2
random_02	luxor hotel and casino	0.44	0.42	0.46	474	97	112	103	117	45
random_02	lynx express	0.39	0.47	0.33	479	1	2	224	248	4
random_02	mack group	0.66	0.50	1.00	474	1	0	235	234	4
random_02	magnum research	0.34	0.45	0.27	468	7	19	203	224	15
random_02	mandalay bay resort and casino	0.49	0.50	0.49	484	172	177	68	48	19
random_02	marriott international	0.52	0.51	0.53	467	222	194	16	20	15
random_02	marvel comics	0.47	0.47	0.48	476	193	211	31	24	17
random_02	mdm (event agency)	0.49	0.50	0.48	475	10	11	227	223	4
random_02	mep	0.55	0.50	0.60	475	12	8	227	224	4
random_02	mercedes-benz	0.51	0.50	0.52	471	184	172	50	53	12
random_02	mercer consulting	0.52	0.48	0.56	462	9	7	214	228	4
random_02	mgm grand hotel and casino	0.47	0.46	0.47	480	85	94	136	123	42
random_02	mta bike plus (nyc)	0.50	0.48	0.53	481	87	76	142	140	36
random_02	nikon	0.48	0.47	0.48	449	209	230	4	1	5
random_02	nordic airways	0.56	0.49	0.67	476	6	3	227	240	0
random_02	philips	0.50	0.49	0.51	446	183	177	37	42	7
random_02	pierce manufacturing	0.00	0.49	0.00	465	0	1	228	236	0
random_02	pioner company	0.47	0.52	0.42	462	14	19	226	199	4
random_02	renaissance technologies	0.67	0.50	1.00	470	1	0	234	233	2
random_02	renault	0.49	0.48	0.50	425	200	204	4	6	11
random_02	shin corporation	0.51	0.53	0.50	488	1	1	258	213	15
random_02	smarter travel	0.52	0.46	0.60	452	3	2	207	239	1
random_02	southwest airlines	0.50	0.50	0.49	468	65	67	171	158	7
random_02	yamaha	0.51	0.50	0.53	489	237	214	7	12	19
random_03	alcatel	0.48	0.48	0.48	481	222	238	10	7	4
random_03	amadeus_it_group	0.43	0.52	0.38	481	24	40	225	192	0
random_03	apollo hospitals	0.47	0.49	0.44	450	4	5	218	218	5
random_03	armani	0.50	0.48	0.51	466	169	160	54	65	18
random_03	barclays	0.48	0.49	0.47	476	157	178	75	58	8
random_03	bart	0.49	0.47	0.51	480	111	105	113	135	16
random_03	bayer	0.50	0.51	0.50	450	145	147	83	65	10
random_03	blockbuster inc.	0.48	0.49	0.47	476	148	166	84	59	19
random_03	boingo (wifi for travelers)	0.55	0.52	0.59	448	109	76	125	130	8
random_03	bulldog solutions	0.49	0.48	0.50	451	1	1	216	232	1
random_03	cadillac	0.49	0.48	0.50	482	147	148	85	87	15
random_03	craft magazine	0.55	0.47	0.67	467	6	3	213	243	2
random_03	delta holding	0.00	0.49	0.00	484	0	0	237	242	5
random_03	dunlop	0.50	0.49	0.51	464	56	53	173	175	7
random_03	edmunds.com	0.54	0.54	0.54	445	84	72	156	124	9
random_03	elf corporation	0.39	0.42	0.36	489	5	9	200	268	7
random_03	emperor entertainment group	0.48	0.47	0.50	490	4	4	225	257	0
random_03	fender	0.51	0.49	0.52	471	158	144	72	80	17
random_03	folio_corporation	0.25	0.46	0.17	473	1	5	218	231	18
random_03	foxtel	0.48	0.47	0.49	499	233	246	3	3	14
random_03	fujitsu	0.50	0.49	0.51	457	209	204	15	22	7
random_03	harpers	0.55	0.53	0.57	495	104	77	156	141	17
random_03	impulse (records )	0.59	0.53	0.67	454	10	5	229	210	0
random_03	lamborghini	0.52	0.51	0.52	407	197	179	10	12	9
random_03	land rover	0.49	0.48	0.50	450	136	137	79	86	12
random_03	linux	0.48	0.48	0.48	387	183	195	3	3	3
random_03	liquid entertainment	0.39	0.47	0.33	463	1	2	218	239	3
random_03	lufthansa	0.50	0.50	0.51	472	233	227	4	6	2
random_03	luxor hotel and casino	0.46	0.44	0.47	474	99	110	111	109	45
random_03	lynx express	0.40	0.51	0.33	479	1	2	245	227	4
random_03	mack group	0.00	0.48	0.00	474	0	1	227	242	4
random_03	magnum research	0.54	0.50	0.58	468	15	11	220	207	15
random_03	mandalay bay resort and casino	0.51	0.50	0.52	484	181	168	60	56	19
random_03	marriott international	0.44	0.43	0.45	467	189	227	11	25	15
random_03	marvel comics	0.50	0.48	0.51	476	207	197	23	32	17
random_03	mdm (event agency)	0.49	0.51	0.48	475	10	11	233	217	4
random_03	mep	0.39	0.45	0.35	475	7	13	208	243	4
random_03	mercedes-benz	0.48	0.47	0.49	471	174	182	49	54	12
random_03	mercer consulting	0.53	0.50	0.56	462	9	7	223	219	4
random_03	mgm grand hotel and casino	0.56	0.53	0.59	480	105	74	148	111	42
random_03	mta bike plus (nyc)	0.48	0.46	0.50	481	81	82	142	140	36
random_03	nikon	0.54	0.54	0.54	449	239	200	4	1	5
random_03	nordic airways	0.46	0.48	0.44	476	4	5	223	244	0
random_03	philips	0.45	0.46	0.44	446	160	200	43	36	7
random_03	pierce manufacturing	0.69	0.52	1.00	465	1	0	242	222	0
random_03	pioner company	0.51	0.50	0.52	462	17	16	215	210	4
random_03	renaissance technologies	0.70	0.54	1.00	470	1	0	252	215	2
random_03	renault	0.48	0.47	0.49	425	197	207	3	7	11
random_03	shin corporation	0.00	0.53	0.00	488	0	2	258	213	15
random_03	smarter travel	0.44	0.48	0.40	452	2	3	216	230	1
random_03	southwest airlines	0.50	0.53	0.48	468	63	69	184	145	7
random_03	yamaha	0.47	0.46	0.48	489	217	234	8	11	19
random_04	alcatel	0.49	0.49	0.49	481	226	234	11	6	4
random_04	amadeus_it_group	0.45	0.50	0.41	481	26	38	213	204	0
random_04	apollo hospitals	0.47	0.49	0.44	450	4	5	217	219	5
random_04	armani	0.48	0.47	0.49	466	162	167	55	64	18
random_04	barclays	0.49	0.49	0.48	476	161	174	72	61	8
random_04	bart	0.47	0.46	0.48	480	104	112	115	133	16
random_04	bayer	0.51	0.51	0.51	450	150	142	80	68	10
random_04	blockbuster inc.	0.50	0.48	0.52	476	162	152	66	77	19
random_04	boingo (wifi for travelers)	0.51	0.50	0.52	448	97	88	128	127	8
random_04	bulldog solutions	0.00	0.52	0.00	451	0	2	236	212	1
random_04	cadillac	0.52	0.50	0.54	482	159	136	83	89	15
random_04	craft magazine	0.40	0.49	0.33	467	3	6	227	229	2
random_04	delta holding	0.00	0.52	0.00	484	0	0	253	226	5
random_04	dunlop	0.60	0.56	0.65	464	71	38	187	161	7
random_04	edmunds.com	0.55	0.53	0.58	445	91	65	144	136	9
random_04	elf corporation	0.46	0.51	0.43	489	6	8	242	226	7
random_04	emperor entertainment group	0.34	0.52	0.25	490	2	6	252	230	0
random_04	fender	0.50	0.49	0.52	471	156	146	73	79	17
random_04	folio_corporation	0.46	0.43	0.50	473	3	3	201	248	18
random_04	foxtel	0.48	0.47	0.49	499	234	245	2	4	14
random_04	fujitsu	0.51	0.51	0.52	457	216	197	15	22	7
random_04	harpers	0.47	0.48	0.47	495	85	96	151	146	17
random_04	impulse (records )	0.49	0.52	0.47	454	7	8	230	209	0
random_04	lamborghini	0.45	0.46	0.45	407	170	206	16	6	9
random_04	land rover	0.50	0.51	0.49	450	134	139	96	69	12
random_04	linux	0.47	0.47	0.47	387	179	199	2	4	3
random_04	liquid entertainment	0.54	0.46	0.67	463	2	1	210	247	3
random_04	lufthansa	0.52	0.52	0.52	472	239	221	5	5	2
random_04	luxor hotel and casino	0.48	0.45	0.50	474	105	104	110	110	45
random_04	lynx express	0.62	0.45	1.00	479	3	0	214	258	4
random_04	mack group	0.00	0.52	0.00	474	0	1	245	224	4
random_04	magnum research	0.52	0.48	0.58	468	15	11	209	218	15
random_04	mandalay bay resort and casino	0.47	0.47	0.48	484	166	183	63	53	19
random_04	marriott international	0.52	0.51	0.52	467	217	199	21	15	15
random_04	marvel comics	0.50	0.49	0.51	476	208	196	24	31	17
random_04	mdm (event agency)	0.51	0.49	0.52	475	11	10	222	228	4
random_04	mep	0.55	0.52	0.60	475	12	8	233	218	4
random_04	mercedes-benz	0.47	0.47	0.48	471	171	185	49	54	12
random_04	mercer consulting	0.51	0.47	0.56	462	9	7	207	235	4
random_04	mgm grand hotel and casino	0.42	0.40	0.45	480	80	99	112	147	42
random_04	mta bike plus (nyc)	0.50	0.47	0.53	481	86	77	140	142	36
random_04	nikon	0.50	0.49	0.50	449	219	220	3	2	5
random_04	nordic airways	0.47	0.50	0.44	476	4	5	236	231	0
random_04	philips	0.46	0.46	0.46	446	166	194	40	39	7
random_04	pierce manufacturing	0.66	0.49	1.00	465	1	0	226	238	0
random_04	pioner company	0.56	0.54	0.58	462	19	14	230	195	4
random_04	renaissance technologies	0.62	0.45	1.00	470	1	0	212	255	2
random_04	renault	0.47	0.47	0.48	425	192	212	6	4	11
random_04	shin corporation	0.00	0.49	0.00	488	0	2	241	230	15
random_04	smarter travel	0.44	0.48	0.40	452	2	3	215	231	1
random_04	southwest airlines	0.48	0.48	0.48	468	64	68	162	167	7
random_04	yamaha	0.56	0.54	0.57	489	257	194	9	10	19
random_05	alcatel	0.49	0.49	0.50	481	228	232	8	9	4
random_05	amadeus_it_group	0.55	0.54	0.56	481	36	28	223	194	0
random_05	apollo hospitals	0.47	0.49	0.44	450	4	5	217	219	5
random_05	armani	0.50	0.48	0.51	466	167	162	59	60	18
random_05	barclays	0.47	0.47	0.46	476	153	182	73	60	8
random_05	bart	0.50	0.49	0.51	480	110	106	126	122	16
random_05	bayer	0.49	0.49	0.50	450	145	147	76	72	10
random_05	blockbuster inc.	0.47	0.45	0.49	476	154	160	62	81	19
random_05	boingo (wifi for travelers)	0.45	0.46	0.44	448	81	104	127	128	8
random_05	bulldog solutions	0.50	0.51	0.50	451	1	1	228	220	1
random_05	cadillac	0.47	0.45	0.48	482	142	153	77	95	15
random_05	craft magazine	0.46	0.48	0.44	467	4	5	221	235	2
random_05	delta holding	0.00	0.50	0.00	484	0	0	243	236	5
random_05	dunlop	0.49	0.48	0.50	464	54	55	171	177	7
random_05	edmunds.com	0.53	0.51	0.55	445	86	70	139	141	9
random_05	elf corporation	0.55	0.53	0.57	489	8	6	252	216	7
random_05	emperor entertainment group	0.44	0.52	0.38	490	3	5	254	228	0
random_05	fender	0.46	0.45	0.46	471	140	162	72	80	17
random_05	folio_corporation	0.48	0.46	0.50	473	3	3	214	235	18
random_05	foxtel	0.53	0.53	0.54	499	260	219	2	4	14
random_05	fujitsu	0.48	0.48	0.48	457	199	214	19	18	7
random_05	harpers	0.48	0.49	0.48	495	86	95	156	141	17
random_05	impulse (records )	0.52	0.46	0.60	454	9	6	202	237	0
random_05	lamborghini	0.49	0.49	0.49	407	186	190	12	10	9
random_05	land rover	0.48	0.48	0.48	450	132	141	82	83	12
random_05	linux	0.54	0.54	0.54	387	205	173	4	2	3
random_05	liquid entertainment	0.00	0.53	0.00	463	0	3	246	211	3
random_05	lufthansa	0.49	0.49	0.49	472	226	234	5	5	2
random_05	luxor hotel and casino	0.53	0.50	0.56	474	118	91	121	99	45
random_05	lynx express	0.56	0.48	0.67	479	2	1	230	242	4
random_05	mack group	0.68	0.52	1.00	474	1	0	245	224	4
random_05	magnum research	0.52	0.50	0.54	468	14	12	218	209	15
random_05	mandalay bay resort and casino	0.46	0.46	0.47	484	164	185	57	59	19
random_05	marriott international	0.47	0.46	0.49	467	204	212	9	27	15
random_05	marvel comics	0.46	0.46	0.47	476	189	215	30	25	17
random_05	mdm (event agency)	0.45	0.48	0.43	475	9	12	219	231	4
random_05	mep	0.52	0.49	0.55	475	11	9	224	227	4
random_05	mercedes-benz	0.54	0.53	0.54	471	193	163	57	46	12
random_05	mercer consulting	0.53	0.51	0.56	462	9	7	226	216	4
random_05	mgm grand hotel and casino	0.51	0.48	0.54	480	96	83	135	124	42
random_05	mta bike plus (nyc)	0.44	0.42	0.46	481	75	88	127	155	36
random_05	nikon	0.47	0.47	0.47	449	208	231	4	1	5
random_05	nordic airways	0.47	0.49	0.44	476	4	5	231	236	0
random_05	philips	0.47	0.48	0.47	446	169	191	45	34	7
random_05	pierce manufacturing	0.00	0.50	0.00	465	0	1	234	230	0
random_05	pioner company	0.47	0.48	0.45	462	15	18	207	218	4
random_05	renaissance technologies	0.65	0.49	1.00	470	1	0	227	240	2
random_05	renault	0.45	0.44	0.46	425	184	220	5	5	11
random_05	shin corporation	0.52	0.54	0.50	488	1	1	261	210	15
random_05	smarter travel	0.57	0.55	0.60	452	3	2	245	201	1
random_05	southwest airlines	0.48	0.47	0.48	468	64	68	154	175	7
random_05	yamaha	0.50	0.49	0.50	489	227	224	13	6	19
random_06	alcatel	0.51	0.50	0.51	481	236	224	5	12	4
random_06	amadeus_it_group	0.54	0.53	0.56	481	36	28	217	200	0
random_06	apollo hospitals	0.47	0.50	0.44	450	4	5	222	214	5
random_06	armani	0.54	0.53	0.55	466	181	148	64	55	18
random_06	barclays	0.50	0.50	0.50	476	169	166	71	62	8
random_06	bart	0.45	0.43	0.47	480	101	115	105	143	16
random_06	bayer	0.45	0.45	0.45	450	130	162	73	75	10
random_06	blockbuster inc.	0.47	0.47	0.47	476	148	166	78	65	19
random_06	boingo (wifi for travelers)	0.46	0.47	0.45	448	83	102	127	128	8
random_06	bulldog solutions	0.00	0.50	0.00	451	0	2	226	222	1
random_06	cadillac	0.53	0.51	0.54	482	159	136	88	84	15
random_06	craft magazine	0.61	0.55	0.67	467	6	3	253	203	2
