entity	#tweets	#true	#false	#unknown	#reconciled	#reconciled_true	#reconciled_false	#reconciled_unknown
alcatel	481	431	17	3	30	29	0	1
amadeus_it_group	481	62	398	0	21	2	19	0
apollo hospitals	450	7	429	0	14	2	7	5
armani	466	312	103	9	42	17	16	9
barclays	476	286	133	8	49	49	0	0
bart	480	187	238	4	51	29	10	12
bayer	450	228	143	2	77	64	5	8
blockbuster inc.	476	306	131	5	34	8	12	14
boingo (wifi for travelers)	448	152	246	1	49	33	9	7
bulldog solutions	451	2	420	1	28	0	28	0
cadillac	482	271	156	4	51	24	16	11
craft magazine	467	8	449	0	10	1	7	2
delta holding	484	0	448	2	34	0	31	3
dunlop	464	96	323	0	45	13	25	7
edmunds.com	445	142	276	2	25	14	4	7
elf corporation	489	14	440	1	34	0	28	6
emperor entertainment group	490	8	478	0	4	0	4	0
fender	471	291	147	8	25	11	5	9
folio_corporation	473	4	435	3	31	2	14	15
foxtel	499	450	6	4	39	29	0	10
fujitsu	457	381	37	0	39	32	0	7
harpers	495	142	295	5	53	39	2	12
impulse (records )	454	15	425	0	14	0	14	0
lamborghini	407	356	22	3	26	20	0	6
land rover	450	234	152	5	59	39	13	7
linux	387	351	6	3	27	27	0	0
liquid entertainment	463	3	449	0	11	0	8	3
lufthansa	472	445	10	1	16	15	0	1
luxor hotel and casino	474	156	202	11	105	53	18	34
lynx express	479	3	453	0	23	0	19	4
mack group	474	1	469	0	4	0	0	4
magnum research	468	21	423	3	21	5	4	12
mandalay bay resort and casino	484	322	113	11	38	27	3	8
marriott international	467	398	36	2	31	18	0	13
marvel comics	476	395	55	4	22	9	0	13
mdm (event agency)	475	21	411	2	41	0	39	2
mep	475	20	408	2	45	0	43	2
mercedes-benz	471	340	100	9	22	16	3	3
mercer consulting	462	14	436	1	11	2	6	3
mgm grand hotel and casino	480	177	254	13	36	2	5	29
mta bike plus (nyc)	481	100	281	10	90	63	1	26
nikon	449	433	5	1	10	6	0	4
nordic airways	476	9	461	0	6	0	6	0
philips	446	326	76	3	41	34	3	4
pierce manufacturing	465	1	461	0	3	0	3	0
pioner company	462	25	412	2	23	8	13	2
renaissance technologies	470	1	445	1	23	0	22	1
renault	425	385	9	4	27	19	1	7
shin corporation	488	2	471	1	14	0	0	14
smarter travel	452	4	442	1	5	1	4	0
southwest airlines	468	128	324	3	13	4	5	4
yamaha	489	414	19	11	45	37	0	8
